type;ID;contrib;Npages;title;filename;generated;citations;name_000;surname_000;name_001;surname_001;name_002;surname_002;name_003;surname_003;name_004;surname_004;name_005;surname_005;name_006;surname_006;name_007;surname_007;name_008;surname_008;name_009;surname_009;name_010;surname_010;name_011;surname_011;name_012;surname_012;name_013;surname_013;name_014;surname_014;name_015;surname_015;name_016;surname_016;name_017;surname_017;name_018;surname_018;name_019;surname_019;name_020;surname_020
paper;878;R;4;Estudio espectrofotom\'etrico de cuatro c\'umulos abiertos de caracter\'isticas poco conocidas;878/878.tex;LaTeX;;F.O.;Simondi-Romero;A.V.;Ahumada;J.J.;Clari\'a;M.A.;Oddone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;879;R;4;Una aproximaci\'on a la cinem\'atica de los c\'umulos abiertos de la V{\'\i}a L\'actea;879/879.tex;LaTeX;;L.A.;Becerra;M.L.;Remaggi;A.E.;Piatti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;880;R;4;Modelado de discos de estrellas Be: efecto de truncamiento del disco en la serie de Brackett;880/880.tex;LaTeX;;Y.R.;Cochetti;A.;Granada;M.L.;Arias;A.F.;Torres;C.;Arcos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;881;R;4;Neutrino production in the cores of active galaxies;881/881.tex;LaTeX;;A.M.;Carulli;M.M.;Reynoso;L.P.;Duvidovich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;882;R;4;Chemical properties of galaxy baryons as a function of halo mass in a $\Lambda$CDM cosmology;882/882.tex;LaTeX;;Y.D.;Burrafato;M.E.;De Rossi;S.E.;Grimozzi;M.S.;Nakwacki;M.C.;Tomasini;L.J.;Zenocratti;M.C.;Zerbo;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;883;R;4;La corriente estelar de Sagitario inmersa en un halo de materia oscura fermi\'onica;883/883.tex;LaTeX;;S.;Collazo;M.F.;Mestre;C.R.;"Arg\""uelles";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;884;R;4;A Python package to find a magnetic cloud frame of reference to heliospheric observers using the Minimum Variance approach;884/884.tex;LaTeX;;A.M.;Gulisano;A.;Arja;R.;Pafundi;V.;Bazzano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;885;R;5;Neural calibration of imaging Stokes polarimeters;885/885.tex;LaTeX;;F.A.;Iglesias;A.;Asensio Ramos;M.;Sanchez;A.;Feller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;886;R;4;Estudio preliminar de ciclos de actividad en estrellas del tipo solar;886/886.tex;LaTeX;;P.D.;Colombo;A.P.;Buccino;C.G.;Oviedo;R.;Iba\~nez Bustos;C.F.;Martinez;P.;Mauas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;887;R;4;A case study of oversight and neglect in the handling of massive data;887/887.tex;LaTeX;;E.E.;Giorgi;M.S.;Pera;G.;Perren;R.A.;V\'azquez;A.;Cruzado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;888;R;4;Understanding the chemistry of the young stellar object G29.862$-$0.0044;888/888.tex;LaTeX;;N.C.;Martinez;S.;Paron;D.;Mast;M.E.;Ortega;A.;Petriella;C.;Fari\~na;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;889;R;4;Science with the Multipurpose Interferometer Array [MIA];889/889.tex;LaTeX;;P.;Benaglia;G.E.;Romero;;;G.;Gancio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;890;R;4;Impacto de la participaci\'on argentina en el Observatorio Gemini;890/890.tex;LaTeX;;C.G.;Escudero;L.A.;Sesto;L.H.;Garc{\'\i}a;G.A.;Ferrero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;891;R;4;Core dynamo simulations of A-type stars;891/891.tex;LaTeX;;J.P.;Hidalgo;P.J.;"K\""apyl\""a";C.A.;Ortiz-Rodr{\'\i}guez;F.H.;Navarrete;D.R.G.;Schleicher;B.;Toro-Vel\'asquez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;892;R;4;Formation of supermassive black holes in galaxies through collisions in Nuclear Star Clusters;892/892.tex;LaTeX;;M.;Liempi;A.;Benson;A.;Escala;D.R.G.;Schleicher;L.;Almonacid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;893;R;4;Dynamos in partially convective M dwarfs;893/893.tex;LaTeX;;B.;Toro-Vel\'asquez;D.R.G.;Schleicher;P.J.;"K\""apyl\""a";C.A.;Ortiz-Rodr{\'\i}guez;F.H.;Navarrete;;;J.P.;Hidalgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;894;R;4;The multipurpose interferometric array [MIA] and the development of its technological demonstrator;894/894.tex;LaTeX;;G.;Gancio;G.E.;Romero;P.;Benaglia;J.M.;Gonz\'alez;E.;Rasztocky;H.;Command;G.;Valdez;E.;Tarcetti;F.;Hauscarriaga;P.;Alarc\'on;F.;Aquino;M.;Al{\'\i};L.F.;Cabral;D.;Capuccio;M.;Contreras;E.;D{\'\i}az;N.;Duarte;L.M.;Garc{\'\i}a;D.;Perilli;P.;Otonello;S.;Spagnolo
paper;895;R;5;Model-based identification of solar coronal mass ejections using deep neural networks;895/895.tex;LaTeX;;F.A.;Iglesias;F.;Cisterna;M.;Sanchez;Y.;Machuca;D.;Lloveras;F.;Manini;F.M.;Lopez;H.;Cremades;A.;Asensio-Ramos;;;;;;;;;;;;;;;;;;;;;;;;
paper;896;R;4;Study of the substructure of two high-mass molecular clumps;896/896.tex;LaTeX;;N.L.;Isequilla;A.D.;Marinelli;M.E.;Ortega;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;897;R;4;On the flavor composition of neutrinos from choked jets of gamma-ray bursts;897/897.tex;LaTeX;;M.M.;Reynoso;F.A.;Deus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;898;R;4;Soluciones hidrodin\'amicas para vientos impulsados por radiaci\'on en regiones de transici\'on;898/898.tex;LaTeX;;M.C.;Fernandez;R.O.J.;Venero;L.S.;Cidale;I.;Araya;M.;Cur\'e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;899;R;4;Connection between feedback processes and the effective yields of EAGLE galaxies;899/899.tex;LaTeX;;M.C.;Zerbo;M.E.;De Rossi;M.A.;Lara-L\'opez;S.A.;Cora;L.J.;Zenocratti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;900;R;4;Modeling the chemistry of early universe;900/900.tex;LaTeX;;M.;Segovia;D.;Schleicher;S.;Bovino;D.;Galli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;901;R;4;Distribuci\'on de masas de algunos sistemas exoplanetarios;901/901.tex;LaTeX;;A.;Terluk;R.;Gil-Hutton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;902;R;5;Curvas de luz de supernovas con el telescopio HSH;902/902.tex;LaTeX;;A.;Mendez Llorca;G.;Folatelli;L.;Martinez;K.;Ertini;L.;Ferrari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;903;R;4;Estudio espectrosc\'opico de c\'umulos estelares pertenecientes a la Nube Mayor de Magallanes - Par\'ametros astrof{\'\i}sicos;903/903.tex;LaTeX;;M.I.;Tapia-Reina;A.V.;Ahumada;F.O.;Simondi-Romero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;904;R;4;Proyecto HK$\alpha$: 24 a\~nos y 400 noches.;904/904.tex;LaTeX;;A.P.;Buccino;P.D.;Colombo;F.;Mosca;R.;Iba\~nez Bustos;M.;Flores;M.C.;Vieytes;C.G.;Oviedo;C.F.;Martinez;J.I.;Peralta;P.;Mauas;;;;;;;;;;;;;;;;;;;;;;
paper;905;R;4;Espectroscop{\'\i}a integrada de candidatos a c\'umulos globulares ubicados hacia el centro de la Via L\'actea;905/905.tex;LaTeX;;A.A.;Massara;D.M.;Illesca;A.E.;Piatti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;906;R;4;Determinaci\'on de par\'ametros astrof\'isicos de c\'umulos abiertos a partir de fotometr\'ia de GAIA;906/906.tex;LaTeX;;A.R.;Callen;A.L.;Garc{\'\i}a;A.;Martinez-Bezoky;J.;Rapoport;F.O.;Simondi-Romero;L.Y.;Saker;A.V.;Ahumada;L.;Tapia;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;907;R;3;Determinaci\'on de tasas de acreci\'on en enanas blancas DA con discos {\em debris};907/907.tex;LaTeX;;L.;Saker;L.;Althaus;;;E.;Jofr\'e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;908;R;4;Cosmic rays at the epoch of reionization;908/908.tex;LaTeX;;L.;Carvalho;G.J.;Escobar;L.J.;Pellizza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;909;R;4;Ultra Diffuse Galaxy formation constraints and possible detection in S-PLUS images;909/909.tex;LaTeX;;P.;Astudillo Sotomayor;N.W.C.;Leigh;R.;Demarco;A.V.;Smith Castelli;R.F.;Haack;A.R.;Lopes;L.A.;Gutierrez Soto;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;910;R;4;Caracterizaci\'on de im\'agenes obtenidas desde la Estaci\'on Astrof{\'\i}sica de Bosque Alegre;910/910.tex;LaTeX;;A.;Martinez-Bezoky;A.R.;Callen;J.C.;Rapoport;C.;Cerdosino;I.;Bustos-Fierro;L.R.;Vega;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;911;R;3;Spatial orientation of planetary nebulae in the Milky Way;911/911.tex;LaTeX;;J.C.;Rapoport;P.C.;Colazo;N.;Padilla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;912;R;4;On the morphology of open clusters probed by ASteCA using Gaia data;912/912.tex;LaTeX;;M.S.;Pera;G.I.;Perr\'en;H.D.;Navone;R.A.;V\'azquez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;913;R;4;Exploring the halo occupation distribution in nodes and filaments;913/913.tex;LaTeX;;N.R.;Perez;L.A.;Pereyra;G.V.;Coldwell;F.;Rodr\'iguez;I.G.;Alfaro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
