type;ID;contrib;Npages;title;filename;generated;citations;name_000;surname_000;name_001;surname_001;name_002;surname_002;name_003;surname_003;name_004;surname_004;name_005;surname_005;name_006;surname_006;name_007;surname_007;name_008;surname_008;name_009;surname_009;name_010;surname_010;name_011;surname_011
paper;2083;R;1;El papel de la din\'amica orbital en la supresi\'on de la formaci\'on estelar en grupos de galaxias;2083.tex;LaTeX;;S.;Levis;V.;Coenda;H.;Muriel;M.;de los Rios;H.J.;Mart{\'\i}nez;A.;Biviano;;;;;;;;;;;;
paper;2234;R;1;Electromagnetic fluxes in rotating wormholes;2234.tex;LaTeX;;M.;Ertola Urtubey;D.;P\'erez;;;;;;;;;;;;;;;;;;;;
paper;2307;R;1;Enhancing the Popcorn Void Finder: Adapting for Real Galaxy Catalogs and its impact on Observational Cosmology;2307.tex;LaTeX;;A.R.;Schachner;J.B. Cabral C.M. Correa % completar A.N.;Ruiz;D.J.;Paz;;;;;;;;;;;;;;;;;;
paper;2218;R;1;Ense\~nanza de la astronom{\'\i}a: una perspectiva desde la teor{\'\i}a del actor-red;2218.tex;LaTeX;;R.S.;Karla;;;;;;;;;;;;;;;;;;;;;;
paper;2308;R;1;Estudiando la poblaci\'on de estrellas B en la direcci\'on a NGC 6834;2308.tex;LaTeX;;M.A.;Ruiz Diaz;Y.J.;Aidelman;G.;Baume;A.;Granada;;;;;;;;;;;;;;;;
paper;2196;R;1;Estudio astrom\'etrico y fotom\'etrico de las estructuras en la visual a Cygnus OB2;2196.tex;LaTeX;;L.G.;Pa{\'\i}z;M.S.;De Biasi;R.B.;Orellana;M.A.;Corti;;;;;;;;;;;;;;;;
paper;2208;R;1;Estudio de la evoluci\'on del polvo en discos protoplanetarios en diferentes sistemas estelares binarios;2208.tex;LaTeX;;A.E.;Correa;M.P.;Ronco;M.M.;Miller Bertolami;O.M.;Guilera;;;;;;;;;;;;;;;;
paper;2183;R;1;Estudio evolutivo del disco protoplanetario de Elias 2-24 a partir de simulaciones basadas en par\'ametros observacionales;2183.tex;LaTeX;;S.;Orcajo;L.A.;Cieza;O.M.;Guilera;;;;;;;;;;;;;;;;;;
paper;2275;R;1;Estudio sistem\'atico en rayos X de la variabilidad de Cygnus X-1;2275.tex;LaTeX;;F.A.;Fogantini;F.;Garc{\'\i}a;M.;M\'endez;;;;;;;;;;;;;;;;;;
paper;2149;R;1;Evoluci\'on de NEA cruzadores del Cintur\'on de Asteroides;2149.tex;LaTeX;;P.S.;Zain;R.P.;Di Sisto;;;;;;;;;;;;;;;;;;;;
paper;2266;R;1;Evoluci\'on del par\'ametro de spin en sistemas binarios interactuantes con un agujero negro;2266.tex;LaTeX;;L.;Bartolomeo Koninckx;M.A.;De Vito;O.G.;Benvenuto;;;;;;;;;;;;;;;;;;
paper;2128;R;1;Exploraci\'on de estrategias para fotometr{\'\i}a multibanda del c\'umulo de galaxias de Antlia usando SourceXtractor++;2128.tex;LaTeX;;S.;Zayas;J.P.;Calder\'on;A.;Smith Castelli;R.;Haack;;;;;;;;;;;;;;;;
paper;2140;R;1;Explorando el impacto de los gradientes qu{\'\i}micos en los procesos de mezcla del interior estelar;2140.tex;LaTeX;;M.M.;Ocampo;M.M.;Miller Bertolami;L.G.;Althaus;;;;;;;;;;;;;;;;;;
paper;2154;R;1;Explorando la formaci\'on de material circumestelar y precursores en supernovas ricas en hidr\'ogeno: An\'alisis de la SN 2020tlf;2154.tex;LaTeX;;T.A.;Regna;M.C.;Bersten;K.;Ertini;;;;;;;;;;;;;;;;;;
paper;2106;R;1;Explorando los posibles or{\'\i}genes de supernovas asociadas a \textit{gamma-ray bursts};2106.tex;LaTeX;;L.M.;Rom\'an Aguilar;M.M.;Saez;M.C.;Bersten;K.;Ertini;;;;;;;;;;;;;;;;
paper;2081;R;1;Fast Radio Bursts: from the Universe to the lab;2081.tex;LaTeX;;F.L.;Vieyro;A.;Araudo;G.E.;Romero;J.;Ben\'a$\check{\textrm{c}}$ek;V.;Tikhonchuk;;;;;;;;;;;;;;
paper;2093;R;1;Galaxy cluster accretion shocks and the origin of ultra-high energy cosmic rays;2093.tex;LaTeX;;A.D.;Supanitsky;S.E.;Nuza;;;;;;;;;;;;;;;;;;;;
paper;2088;R;1;Galaxy sizes and compactness during the epoch of reionization;2088.tex;LaTeX;;P.;Cataldi;S.;Pedrosa;L.;Pellizza;D.;Ceverino;;;;;;;;;;;;;;;;
paper;2121;R;1;Gemini Argentina: novedades y actualizaci\'on 2023;2121.tex;LaTeX;;L.H.;Garc{\'\i}a;G.A.;Ferrero;C.;Escudero;;;L.;Sesto;;;;;;;;;;;;;;
paper;2130;R;1;Hot Jupiter - Cold Jupiter, sistemas planetarios con un pasado turbulento;2130.tex;LaTeX;;A.;Errico;;;;;;;;;;;;;;;;;;;;;;
paper;2300;R;1;\'Indices de Lick: descifrando la historia de los C\'umulos de Virgo y Coma;2300.tex;LaTeX;;M.C.;Scalia;A.V.;Smith Castelli;F.R.;Faifer;;;;;;;;;;;;;;;;;;
paper;2171;R;1;Irregularidades rotacionales en p\'ulsares observados desde el IAR;2171.tex;LaTeX;;E.;Zubieta;F.;Garc\'{i}a;S.;del Palacio;S.B.;Araujo Furlan;G.;Gancio;C.O.;Lousto;J.A.;Combi;C.M.;Espinoza;;;;;;;;
paper;2289;R;1;La fusi\'on, la actividad nuclear, y el medio interestelar en la radiofuente 3C~305;2289.tex;LaTeX;;V.;Reynaldi;P.;Ogle;F.R.;Faifer;B.;Sebastian;I.E.;L\'opez;;;;;;;;;;;;;;
paper;2222;R;1;Los asteroides Centauros a trav\'es del JWST;2222.tex;LaTeX;;M.D.;Melita;J.;Licandro;N.;Pinilla-Alonso;;;;;;;;;;;;;;;;;;
paper;2103;R;1;Modelado hidrodin\'amico de arcos coronales;2103.tex;LaTeX;;M.;L\'opez Fuentes;J.A.;Klimchuk;;;;;;;;;;;;;;;;;;;;
paper;2280;R;1;Nuevas evidencias de H$_2$ en estructuras de baja ionizaci\'on de nebulosas planetarias;2280.tex;LaTeX;;M.B.;Mari;S.;Akras;D.R.;Gon\c{c}alves;;;;;;;;;;;;;;;;;;
paper;2239;R;1;Nuevos diagn\'osticos 3D de la corona solar interna mediante tomograf{\'\i}a con m\'ultiples instrumentos;2239.tex;LaTeX;;F.A.;Nuevo;A.M.;V\'asquez;E.;Landi;R.A.;Frazin;;;;;;;;;;;;;;;;
paper;2207;R;1;Performance Assessment via the Cram\'er-Rao bound of the Argentinean Multipurpose Interferometer Array;2207.tex;LaTeX;;L.;Cabral;C.;Muravchik;M.;Fern\'andez Corazza;G.;Gancio;P.;Benaglia;;;;;;;;;;;;;;
paper;2094;R;1;Agujeros negros primordiales para aliviar la tensi\'on en la formaci\'on estelar temprana;2094.tex;LaTeX;;P.E.;Colazo;F.;Stasyszyn;N.;Padilla;;;;;;;;;;;;;;;;;;
